proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
UDP,1746382479,5.39.20.184,53222,216.238.92.208,5060,0.780918,6,6,3599,3108,385,516,644,520,599.833313,518,105.249069,1.264911,0.780391,0.780506,0.155084,0.15516,0.157329,0.157394,0.156078,0.156101,0.000898,0.0009,0,0,0,0,3395,2904,7.683266,7.683266,8588.611328,558.916667,82.838791,0.07119,0.081277,0,0,0,0,0,0,0,0.863573,1,1
UDP,1746382503,5.39.20.184,50137,216.238.92.208,5060,0.780549,6,6,3635,3136,390,522,649,524,605.833313,522.666687,105.736308,1.032796,0.779823,0.780121,0.154836,0.154991,0.156439,0.156428,0.155965,0.156024,0.000652,0.000605,0,0,0,0,3431,2932,7.686897,7.686897,8674.663086,564.25,83.479042,0.071198,0.081159,0,0,0,0,0,0,0,0.862724,1,1
UDP,1746382527,5.39.20.184,63520,216.238.92.208,5060,0.770062,6,6,3629,3130,390,519,649,523,604.833313,521.666687,105.25287,1.632993,0.769787,0.769607,0.144281,0.144209,0.160277,0.16031,0.153957,0.153921,0.006094,0.006109,0,0,0,0,3425,2926,7.791581,7.791581,8777.21582,563.25,83.205254,0.070186,0.080298,0,0,0,0,0,0,0,0.862497,1,1
UDP,1746382551,5.39.20.184,60104,216.238.92.208,5060,0.779065,6,6,3595,3110,385,517,643,519,599.166687,518.333313,104.921718,1.032796,0.778624,0.778761,0.148705,0.148629,0.158582,0.158748,0.155725,0.155752,0.004092,0.00417,0,0,0,0,3391,2906,7.701541,7.701541,8606.47168,558.75,82.379524,0.071028,0.081132,0,0,0,0,0,0,0,0.86509,1,1
UDP,1746382574,5.39.20.184,56653,216.238.92.208,5060,0.780998,6,6,3631,3134,390,521,649,523,605.166687,522.333313,105.412365,1.032796,0.780576,0.780571,0.155119,0.155127,0.156899,0.156914,0.156115,0.156114,0.000696,0.000712,0,0,0,0,3427,2930,7.682478,7.682478,8661.994141,563.75,83.201973,0.07121,0.081292,0,0,0,0,0,0,0,0.863123,1,1
UDP,1746382599,5.39.20.184,53809,216.238.92.208,5060,0.780611,6,6,3625,3126,388,520,648,522,604.166687,521,105.900739,1.095445,0.780291,0.780205,0.154737,0.154714,0.157772,0.15808,0.156058,0.156041,0.001183,0.001305,0,0,0,0,3421,2922,7.686286,7.686286,8648.353516,562.583333,83.574089,0.071139,0.081307,0,0,0,0,0,0,0,0.862345,1,1
UDP,1746382622,5.39.20.184,50500,216.238.92.208,5060,0.773656,6,6,3640,3142,392,523,651,525,606.666687,523.666687,105.169703,1.032796,0.773211,0.773286,0.149776,0.149941,0.157007,0.156871,0.154642,0.154657,0.00297,0.002878,0,0,0,0,3436,2938,7.755383,7.755383,8766.168945,565.166667,83.107635,0.070542,0.080541,0,0,0,0,0,0,0,0.863187,1,1
UDP,1746382647,5.39.20.184,63880,216.238.92.208,5060,0.780636,6,6,3638,3138,390,521,650,525,606.333313,523,105.982388,1.788854,0.78002,0.780102,0.151963,0.15206,0.15815,0.158196,0.156004,0.15602,0.002503,0.002466,0,0,0,0,3434,2934,7.686042,7.686042,8680.103516,564.666667,83.671799,0.071216,0.081194,0,0,0,0,0,0,0,0.862562,1,1
UDP,1746382671,5.39.20.184,60219,216.238.92.208,5060,0.783913,6,6,3635,3136,391,520,650,524,605.833313,522.666687,105.249069,1.632993,0.783416,0.783502,0.155671,0.155796,0.159398,0.159439,0.156683,0.1567,0.001531,0.00154,0,0,0,0,3431,2932,7.653912,7.653912,8637.439453,564.25,83.203064,0.071465,0.081596,0,0,0,0,0,0,0,0.862724,1,1
UDP,1746382694,5.39.20.184,63706,216.238.92.208,5060,0.776124,6,6,3628,3130,389,521,649,523,604.666687,521.666687,105.659202,1.032796,0.775455,0.775727,0.148989,0.148915,0.156836,0.156959,0.155091,0.155145,0.003421,0.003493,0,0,0,0,3424,2926,7.730723,7.730723,8707.371094,563.166667,83.389374,0.070755,0.080774,0,0,0,0,0,0,0,0.862734,1,1
